lake,year,month,site,core_unique,mean_hypo_temp,mean_hypo_DO,mean_hypo_DOsat,mean_temp,mean_DO,mean_DOsat,mean_pH,mean_Prr
Green Valley,2020,February,4,1,4.2,1.11,8.6,5.333333333,1.78,13.93333333,7.59,6.023903554
Green Valley,2020,February,4,2,4.2,1.11,8.6,5.3,0.923333333,7.266666667,8.006666667,4.219466667
Green Valley,2020,February,4,3,4.2,1.11,8.6,5.566666667,2.816666667,22.46666667,8.013333333,23.58836071
Green Valley,2020,February,10,4,3.2,12.61,94.3,6.32,11.55,93.74,7.726,0.031539625
Green Valley,2020,February,10,5,3.2,12.61,94.3,6.84,12.148,98.84,7.834,-1.07900353
Green Valley,2020,February,10,6,3.2,12.61,94.3,5.98,12.294,99.9,7.888,-3.657701585
Green Valley,2020,April,4,7,11.9,5.84,54.3,12.3,7.095,66.4,6.865,2.534138833
Green Valley,2020,April,4,8,11.9,5.84,54.3,11.1,8.895,80.95,7,1.868424448
Green Valley,2020,April,4,9,11.9,5.84,54.3,10.65,6.535,58.875,7.165,2.707443564
Green Valley,2020,April,10,10,14.1,8.88,86.4,11.275,10.2425,93.625,7.4075,1.191451057
Green Valley,2020,April,10,11,14.1,8.88,86.4,11.05,9.955,90.425,7.4525,1.592019837
Green Valley,2020,April,10,12,14.1,8.88,86.4,11.075,10.2625,93.225,7.595,0.873785591
Green Valley,2020,April,1,13,14.6,9.41,92.5,11.525,10.445,95.95,7.75,0.66028511
Green Valley,2020,April,1,14,14.6,9.41,92.5,11.4,10.1275,92.6,7.7825,1.638300913
Green Valley,2020,April,1,15,14.6,9.41,92.5,11.375,10.45,95.725,7.8475,3.841130259
Green Valley,2020,June,4,16,24.2,0.28,3.3,22.875,1.3975,16.3,8.355,16.23997046
Green Valley,2020,June,4,17,24.2,0.28,3.3,22.75,1.4525,16.825,7.95,15.91656628
Green Valley,2020,June,4,18,24.2,0.28,3.3,22.725,1.3025,15.05,7.97,19.56850855
Green Valley,2020,June,10,19,26.3,6.26,78,22.8,5.785,67.325,7.3,-10.60563004
Green Valley,2020,June,10,20,26.3,6.26,78,22.75,6.7975,78.725,7.365,7.995977906
Green Valley,2020,June,10,21,26.3,6.26,78,22.85,5.9975,69.725,7.1125,-8.252105908
Green Valley,2020,June,1,22,26.5,5.41,67.4,22.875,7.5825,88.3,7.5375,-5.448684438
Green Valley,2020,June,1,23,26.5,5.41,67.4,23,7.5225,87.7,7.5975,6.302573679
Green Valley,2020,June,1,24,26.5,5.41,67.4,23.025,6.86,79.975,7.34,-1.150637272
Green Valley,2020,August,4,25,24.9,4.54,54.7,24.7,1.99,23.65,7.6225,8.973138244
Green Valley,2020,August,4,26,24.9,4.54,54.7,24.775,1.52,18.125,7.605,2.261922959
Green Valley,2020,August,4,27,24.9,4.54,54.7,24.775,1.3125,15.725,7.5525,-4.101516475
Green Valley,2020,August,10,28,25.4,4.76,58,24.6,1.91,22.75,7.55,-7.493602305
Green Valley,2020,August,10,29,25.4,4.76,58,24.65,1.93,23.25,7.6975,18.87632493
Green Valley,2020,August,10,30,25.4,4.76,58,24.675,1.7425,20.55,7.7525,17.57054006
Green Valley,2020,August,1,31,26.1,7.17,88.7,24.6,6.965,83.7,8.075,6.763075817
Green Valley,2020,August,1,32,26.1,7.17,88.7,24.63333333,5.856666667,70.2,7.976666667,3.512871182
Green Valley,2020,August,1,33,26.1,7.17,88.7,24.7,6.876666667,82.7,8.08,14.81647839
Green Valley,2020,October,4,34,8.4,8.65,73.8,12.45,10.29,96.575,8.595,-2.796848151
Green Valley,2020,October,4,35,8.4,8.65,73.8,10.7,10.4475,94.1,8.4325,-3.346556052
Green Valley,2020,October,4,36,8.4,8.65,73.8,10.175,10.545,93.95,8.4,1.690748319
Green Valley,2020,October,10,37,8.1,8.71,73.7,10.55,10.6475,95.65,8.4275,-1.059185639
Green Valley,2020,October,10,38,8.1,8.71,73.7,10.15,9.8525,87.6,8.36,0.908967963
Green Valley,2020,October,10,39,8.1,8.71,73.7,10.45,10.3575,92.9,8.3375,0.999284534
Green Valley,2020,October,1,40,6.7,10.19,83.3,10.425,10.7625,96.425,8.47,0.638389457
Green Valley,2020,October,1,41,6.7,10.19,83.3,10.3,10.5525,94.15,8.3825,0.152542699
Green Valley,2020,October,1,42,6.7,10.19,83.3,9.9,10.67,94.4,8.335,-2.990213497
Green Valley,2019,July,1,43,NA,7,NA,20,NA,NA,7.0525,-18.47335696
Green Valley,2019,July,1,44,NA,7,NA,20,NA,NA,7.878,-15.81782043
Green Valley,2019,July,4,49,NA,0.41,NA,20,NA,NA,8.612,-7.107952522
Green Valley,2019,July,4,50,NA,0.41,NA,20,NA,NA,8.782,-7.744899867
