year,lake,month,doy,site,mean_looseP_ug,sem_looseP_ug,mean_redoxP_ug,sem_redoxP_ug,mean_AlP_ug,sem_AlP_ug,mean_orgP_ug,sem_orgP_ug
2020,Green Valley,February,39,4,21.26606861,1.686014164,1188.396392,81.34589444,518.8875355,74.59164307,138.743654,23.02785656
2020,Green Valley,February,39,10,4.341074441,1.764086386,343.5333509,8.478920261,137.3195289,10.35399869,94.41675786,4.253505413
2020,Green Valley,April,117,1,9.269506146,0.7518634,435.8854028,17.92167693,186.3049174,2.704371843,63.04772298,0.989773347
2020,Green Valley,April,117,4,23.93936944,2.091696313,1149.413385,34.22954662,578.0988198,19.71748074,112.7354655,9.558807232
2020,Green Valley,April,117,10,8.467968546,0.397093074,526.8182327,22.15774299,410.7841191,23.10017119,60.17318182,7.640247342
2020,Green Valley,June,181,1,4.864455588,1.539676997,309.4048974,30.918821,130.6246231,1.776003141,122.3174661,1.185677957
2020,Green Valley,June,181,4,22.60569127,0.922959118,1101.900968,101.3193059,700.8345827,22.61724493,232.7951293,10.63281598
2020,Green Valley,June,181,10,7.832268207,2.108169687,490.4830191,41.72836659,288.220933,14.62546598,149.329857,5.11988541
2020,Green Valley,August,223,1,4.327660345,0.466614194,200.6818381,9.935317199,152.7725749,5.177018099,97.45051149,4.163805175
2020,Green Valley,August,223,4,20.01903437,6.627478748,714.1735634,28.77913033,868.9099835,52.35405687,234.5569147,21.08206892
2020,Green Valley,August,223,10,11.97483104,1.237048712,355.9696564,29.80778683,282.5427696,22.56033438,124.3033278,7.686390867
2020,Green Valley,October,298,1,3.165981878,0.408182238,167.6723815,14.71901698,96.09259499,2.432003814,123.2350279,4.235581483
2020,Green Valley,October,298,4,40.14460068,6.89167724,1478.70748,212.5822413,782.6090647,37.83848973,423.641648,17.3335449
2020,Green Valley,October,298,10,12.98053499,0.458928551,576.0449686,12.44377688,373.3096705,4.645620513,256.6527387,1.424160035
