sample_id,year,lake,month,doy,site,lab_rep,MCfrac,OM_per,bd
C20-041-039-4-A,2020,Green Valley,February,39,4,A,0.847619048,12.01923077,1.089920767
C20-041-039-4-B,2020,Green Valley,February,39,4,B,0.854039541,12.7090301,1.085076907
C20-041-039-4-C,2020,Green Valley,February,39,4,C,0.858601728,11.38888889,1.083546127
C20-041-039-4-D,2020,Green Valley,February,39,4,D,0.853705693,12.62848752,1.085373509
C20-041-039-4-E,2020,Green Valley,February,39,4,E,0.852193261,12.04301075,1.086961144
C20-041-039-4-F,2020,Green Valley,February,39,4,F,0.848979592,13.14072693,1.087811657
C20-041-039-10-A,2020,Green Valley,February,39,10,A,0.684375,7.197258187,1.219886312
C20-041-039-10-B,2020,Green Valley,February,39,10,B,0.69266393,7.5,1.212040626
C20-041-039-10-C,2020,Green Valley,February,39,10,C,0.699067043,6.849315068,1.208466953
C20-041-039-10-D,2020,Green Valley,February,39,10,D,0.69875,7.385892116,1.207280832
C20-041-039-10-E,2020,Green Valley,February,39,10,E,0.696184739,8.327825512,1.206845127
C20-041-039-10-F,2020,Green Valley,February,39,10,F,0.690713101,7.685433423,1.213154501
C20-041-117-4-A,2020,Green Valley,April,117,4,A,0.859383754,17.39707835,1.076981389
C20-041-117-4-B,2020,Green Valley,April,117,4,B,0.858270878,13.03116147,1.082078246
C20-041-117-4-C,2020,Green Valley,April,117,4,C,0.86440678,14.48170732,1.07684142
C20-041-117-10-A,2020,Green Valley,April,117,10,A,0.775531011,8.0999243,1.145404459
C20-041-117-10-B,2020,Green Valley,April,117,10,B,0.793204357,9.119496855,1.130778477
C20-041-117-10-C,2020,Green Valley,April,117,10,C,0.775862069,8.396946565,1.144621874
C20-041-117-1-A,2020,Green Valley,April,117,1,A,0.721925134,10.0795756,1.181857806
C20-041-117-1-B,2020,Green Valley,April,117,1,B,0.711159306,8.66894198,1.193800695
C20-041-117-1-C,2020,Green Valley,April,117,1,C,0.717798913,9.099662975,1.187450357
C20-041-181-4-A,2020,Green Valley,June,181,4,A,0.863859799,13.50078493,1.078129708
C20-041-181-4-B,2020,Green Valley,June,181,4,B,0.874090247,10.40462428,1.074599928
C20-041-181-4-C,2020,Green Valley,June,181,4,C,0.866231253,14.28571429,1.075915916
C20-041-181-10-A,2020,Green Valley,June,181,10,A,0.769621797,9.796999117,1.146633667
C20-041-181-10-B,2020,Green Valley,June,181,10,B,0.775445448,9.782608696,1.142425087
C20-041-181-10-C,2020,Green Valley,June,181,10,C,0.768562205,9.549356223,1.147872037
C20-041-181-1-A,2020,Green Valley,June,181,1,A,0.718510638,9.372637944,1.186223499
C20-041-181-1-B,2020,Green Valley,June,181,1,B,0.713565536,9.36,1.190148527
C20-041-181-1-C,2020,Green Valley,June,181,1,C,0.712671158,9.379727685,1.190806108
C20-041-223-4-A,2020,Green Valley,August,223,4,A,0.870932989,14.1903172,1.07313993
C20-041-223-4-B,2020,Green Valley,August,223,4,B,0.87204279,14.14790997,1.072503861
C20-041-223-4-C,2020,Green Valley,August,223,4,C,0.873319328,13.76451078,1.072072072
C20-041-223-10-A,2020,Green Valley,August,223,10,A,0.800499272,10.2189781,1.123878208
C20-041-223-10-B,2020,Green Valley,August,223,10,B,0.802022102,9.026128266,1.124651655
C20-041-223-10-C,2020,Green Valley,August,223,10,C,0.791145332,9.331797235,1.131903126
C20-041-223-1-A,2020,Green Valley,August,223,1,A,0.739130435,9.43877551,1.170114208
C20-041-223-1-B,2020,Green Valley,August,223,1,B,0.727552141,8.299758259,1.181676678
C20-041-223-1-C,2020,Green Valley,August,223,1,C,0.730493059,9.147424512,1.177411663
C20-041-298-4-A,2020,Green Valley,October,298,4,A,0.86763285,10.2189781,1.078903055
C20-041-298-4-B,2020,Green Valley,October,298,4,B,0.871366729,6.41025641,1.080012331
C20-041-298-4-C,2020,Green Valley,October,298,4,C,0.865729899,13.08139535,1.077375946
C20-041-298-10-A,2020,Green Valley,October,298,10,A,0.835085414,13.14741036,1.096663341
C20-041-298-10-B,2020,Green Valley,October,298,10,B,0.836195792,6.422018349,1.104153751
C20-041-298-10-C,2020,Green Valley,October,298,10,C,0.822780269,10.42510121,1.108265158
C20-041-298-1-A,2020,Green Valley,October,298,1,A,0.692054537,9.083969466,1.2081531
C20-041-298-1-B,2020,Green Valley,October,298,1,B,0.706993007,2.227525855,1.214027602
C20-041-298-1-C,2020,Green Valley,October,298,1,C,0.716382315,5.174644243,1.198325865
C19-041-203-1-A,2019,Green Valley,July,203,1,A,0.757873621,7.787903894,1.159281587
C19-041-203-1-B,2019,Green Valley,July,203,1,B,0.756869773,6.388206388,1.162872716
C19-041-203-1-C,2019,Green Valley,July,203,1,C,0.759501307,6.856187291,1.159893787
C19-041-203-2-A,2019,Green Valley,July,203,2,A,0.731771359,5.195783133,1.185518778
C19-041-203-2-B,2019,Green Valley,July,203,2,B,0.727236181,6.337509211,1.186544847
C19-041-203-2-C,2019,Green Valley,July,203,2,C,0.732473811,5.647590361,1.183899611
C19-041-203-3-A,2019,Green Valley,July,203,3,A,0.85361941,7.397260274,1.091008532
C19-041-203-3-B,2019,Green Valley,July,203,3,B,0.852846832,8.446866485,1.090401561
C19-041-203-3-C,2019,Green Valley,July,203,3,C,0.850572404,9.139784946,1.091168091
C19-041-203-4-A,2019,Green Valley,July,203,4,A,0.865461847,8.358208955,1.082102026
C19-041-203-4-B,2019,Green Valley,July,203,4,B,0.869184891,7.142857143,1.080790718
C19-041-203-4-C,2019,Green Valley,July,203,4,C,0.864145658,8.100147275,1.083224967
C19-041-203-5-A,2019,Green Valley,July,203,5,A,0.836726466,8.024691358,1.101822903
C19-041-203-5-B,2019,Green Valley,July,203,5,B,0.834304077,8.606060606,1.102768549
C19-041-203-5-C,2019,Green Valley,July,203,5,C,0.834842084,7.06455542,1.104308003
C19-041-203-6-A,2019,Green Valley,July,203,6,A,0.708980827,7.281553398,1.199110184
C19-041-203-6-B,2019,Green Valley,July,203,6,B,0.687964637,9.787508049,1.209522741
C19-041-203-6-C,2019,Green Valley,July,203,6,C,0.708324934,9.882515549,1.192967204
